profnumber,profevaluation,beauty,gender,age,formal,lower,native,minority,students,tenure
19,4.3,-0.1563634,female,46,no,no,english,no,45,tenured
19,5,-0.1563634,female,46,no,yes,english,no,15,tenured
19,4.7,-0.1563634,female,46,no,no,english,no,38,tenured
19,4.5,-0.1563634,female,46,no,yes,english,no,15,tenured
20,3.9,-0.0589354,female,57,no,no,english,no,23,non tenure track
20,4,-0.0589354,female,57,no,no,english,no,19,non tenure track
20,4,-0.0589354,female,57,no,no,english,no,23,non tenure track
20,3.7,-0.0589354,female,57,no,no,english,no,22,non tenure track
20,3.4,-0.0589354,female,57,no,no,english,no,20,non tenure track
20,3.3,-0.0589354,female,57,no,no,english,no,19,non tenure track
20,3.8,-0.0589354,female,57,no,no,english,no,23,non tenure track
20,3.9,-0.0589354,female,57,no,no,english,no,22,non tenure track
20,3.4,-0.0589354,female,57,no,no,english,no,15,non tenure track
21,4.1,0.1511368,female,52,no,no,english,no,31,non tenure track
21,3.7,0.1511368,female,52,no,no,english,no,21,non tenure track
21,3.5,0.1511368,female,52,no,no,english,no,36,non tenure track
21,3.5,0.1511368,female,52,no,no,english,no,19,non tenure track
21,4.4,0.1511368,female,52,no,no,english,no,37,non tenure track
23,3.7,-0.8214405,male,62,no,yes,english,no,184,tenured
23,4.7,-0.8214405,male,62,no,no,english,no,50,tenured
23,3.9,-0.8214405,male,62,no,yes,english,no,157,tenured
23,3.6,-0.8214405,male,62,no,yes,english,no,164,tenured
24,4.5,-0.1994712,male,64,no,no,english,no,68,tenured
24,4.8,-0.1994712,male,64,no,no,english,no,47,tenured
24,4.8,-0.1994712,male,64,no,no,english,no,14,tenured
24,4.7,-0.1994712,male,64,no,no,english,no,15,tenured
24,4.5,-0.1994712,male,64,no,no,english,no,24,tenured
24,4.3,-0.1994712,male,64,no,no,english,no,39,tenured
25,4.1,1.687167,female,34,no,no,english,no,40,tenure track
26,4.3,-0.4101976,male,58,no,no,english,no,151,tenured
26,3.6,-0.4101976,male,58,no,yes,english,no,47,tenured
26,4.5,-0.4101976,male,58,no,no,english,no,122,tenured
26,4.3,-0.4101976,male,58,no,yes,english,no,45,tenured
27,4.7,0.1233448,male,52,yes,no,non english,yes,23,tenured
27,4.8,0.1233448,male,52,yes,no,non english,yes,16,tenured
27,3.5,0.1233448,male,52,yes,no,non english,yes,18,tenured
27,3.8,0.1233448,male,52,yes,no,non english,yes,16,tenured
27,3.6,0.1233448,male,52,yes,no,non english,yes,15,tenured
27,4.2,0.1233448,male,52,yes,no,non english,yes,28,tenured
28,4.4,-0.8059942,male,73,yes,no,english,no,13,tenured
28,3.7,-0.8059942,male,73,yes,no,english,no,21,tenured
28,4.3,-0.8059942,male,73,yes,no,english,no,17,tenured
29,4.6,-0.8210418,male,70,yes,no,english,no,48,tenured
29,4.1,-0.8210418,male,70,yes,no,english,no,64,tenured
29,3.6,-0.8210418,male,70,yes,no,english,no,69,tenured
31,4.4,-0.0985568,male,63,no,no,english,no,14,non tenure track
31,3.6,-0.0985568,male,63,no,no,english,no,15,non tenure track
31,4.4,-0.0985568,male,63,no,no,english,no,18,non tenure track
31,3.9,-0.0985568,male,63,no,no,english,no,16,non tenure track
31,3.8,-0.0985568,male,63,no,no,english,no,10,non tenure track
31,3.4,-0.0985568,male,63,no,no,english,no,47,non tenure track
32,4.1,-1.012306,male,47,no,no,english,no,14,tenured
32,3.2,-1.012306,male,47,no,no,english,no,12,tenured
33,3.9,0.4883314,male,39,no,yes,english,no,316,tenured
33,4.9,0.4883314,male,39,no,no,english,no,15,tenured
33,4.7,0.4883314,male,39,no,no,english,no,15,tenured
33,4.4,0.4883314,male,39,no,no,english,no,29,tenured
34,4,-0.1719505,female,47,no,no,english,yes,8,tenure track
34,4.4,-0.1719505,female,47,no,yes,english,yes,16,tenure track
34,3.9,-0.1719505,female,47,no,yes,english,yes,26,tenure track
34,4.4,-0.1719505,female,47,no,no,english,yes,10,tenure track
34,3,-0.1719505,female,47,no,yes,english,yes,26,tenure track
34,3.5,-0.1719505,female,47,no,yes,english,yes,26,tenure track
34,2.8,-0.1719505,female,47,no,yes,english,yes,26,tenure track
34,4.6,-0.1719505,female,47,no,yes,english,yes,21,tenure track
34,4.3,-0.1719505,female,47,no,yes,english,yes,12,tenure track
34,3.4,-0.1719505,female,47,no,yes,english,yes,27,tenure track
34,3,-0.1719505,female,47,no,yes,english,yes,27,tenure track
34,4.2,-0.1719505,female,47,no,yes,english,yes,25,tenure track
35,4.1,-1.167907,male,54,yes,no,english,no,15,tenured
35,4.6,-1.167907,male,54,yes,no,english,no,17,tenured
36,3.5,0.9525534,female,44,no,no,english,yes,48,tenured
36,4,0.9525534,female,44,no,no,english,yes,21,tenured
36,4,0.9525534,female,44,no,no,english,yes,39,tenured
37,3.3,-1.140457,male,47,no,no,english,yes,14,tenured
37,4,-1.140457,male,47,no,no,english,yes,26,tenured
37,3.8,-1.140457,male,47,no,no,english,yes,16,tenured
37,4.2,-1.140457,male,47,no,no,english,yes,16,tenured
37,4,-1.140457,male,47,no,no,english,yes,13,tenured
37,3.8,-1.140457,male,47,no,no,english,yes,14,tenured
37,3.3,-1.140457,male,47,no,no,english,yes,17,tenured
38,4.7,-0.8161172,male,62,yes,no,english,no,15,tenured
38,4.4,-0.8161172,male,62,yes,no,english,no,10,tenured
39,4.8,-0.4837456,male,60,no,no,english,no,16,tenured
39,4.6,-0.4837456,male,60,no,no,english,no,14,tenured
39,4.6,-0.4837456,male,60,no,no,english,no,12,tenured
39,4.8,-0.4837456,male,60,no,no,english,no,39,tenured
39,4.4,-0.4837456,male,60,no,no,english,no,35,tenured
39,4.7,-0.4837456,male,60,no,no,english,no,45,tenured
39,4.7,-0.4837456,male,60,no,yes,english,no,45,tenured
41,4.3,-0.3261277,male,42,no,no,english,no,14,tenure track
41,4.9,-0.3261277,male,42,no,no,english,no,14,tenure track
41,4.4,-0.3261277,male,42,no,no,english,no,12,tenure track
41,4.7,-0.3261277,male,42,no,no,english,no,15,tenure track
42,4.8,0.1865589,male,35,no,yes,english,no,23,tenured
42,4.5,0.1865589,male,35,no,no,english,no,57,tenured
42,4.7,0.1865589,male,35,no,yes,english,no,50,tenured
43,4.7,1.881674,female,39,no,no,english,no,23,non tenure track
43,4.6,1.881674,female,39,no,no,english,no,23,non tenure track
43,3.6,1.881674,female,39,no,yes,english,no,28,non tenure track
44,4.1,0.9626006,male,49,yes,no,english,no,42,tenured
44,4,0.9626006,male,49,yes,no,english,no,57,tenured
45,4.6,0.1534694,male,61,yes,no,english,no,38,tenured
45,4.8,0.1534694,male,61,yes,yes,english,no,22,tenured
45,4.6,0.1534694,male,61,yes,no,english,no,43,tenured
46,3.1,1.261046,male,33,yes,no,english,no,13,tenure track
46,3.7,1.261046,male,33,yes,no,english,no,15,tenure track
48,3.9,-0.3460746,female,56,yes,no,english,no,20,tenured
48,3.2,-0.3460746,female,56,yes,no,english,no,23,tenured
49,4.2,-0.744618,female,50,no,yes,english,no,32,non tenure track
49,4.7,-0.744618,female,50,no,yes,english,no,21,non tenure track
49,3.9,-0.744618,female,50,no,no,english,no,24,non tenure track
49,3.6,-0.744618,female,50,no,no,english,no,21,non tenure track
49,3.4,-0.744618,female,50,no,no,english,no,28,non tenure track
49,4.4,-0.744618,female,50,no,no,english,no,29,non tenure track
50,4.1,-0.7447439,male,52,no,no,english,no,89,tenured
50,3.6,-0.7447439,male,52,no,no,english,no,82,tenured
50,3.5,-0.7447439,male,52,no,no,english,no,122,tenured
50,4.1,-0.7447439,male,52,no,no,english,no,131,tenured
50,3.8,-0.7447439,male,52,no,no,english,no,114,tenured
50,4,-0.7447439,male,52,no,no,english,no,149,tenured
50,4.8,-0.7447439,male,52,no,no,english,no,23,tenured
50,4.2,-0.7447439,male,52,no,no,english,no,98,tenured
50,4.6,-0.7447439,male,52,no,no,english,no,27,tenured
50,4.3,-0.7447439,male,52,no,no,english,no,30,tenured
50,4.8,-0.7447439,male,52,no,no,english,no,30,tenured
50,3.8,-0.7447439,male,52,no,no,english,no,69,tenured
51,4.9,0.6361284,female,33,no,no,english,no,10,tenure track
51,4.9,0.6361284,female,33,no,no,english,no,11,tenure track
51,4.8,0.6361284,female,33,no,no,english,no,14,tenure track
51,4.7,0.6361284,female,33,no,no,english,no,11,tenure track
51,4.6,0.6361284,female,33,no,no,english,no,14,tenure track
52,4.4,0.5434852,male,57,no,no,english,no,41,tenured
52,4.5,0.5434852,male,57,no,no,english,no,88,tenured
52,4.2,0.5434852,male,57,no,no,english,no,78,tenured
53,4.6,0.9825948,female,38,yes,yes,english,no,157,tenured
53,4.9,0.9825948,female,38,yes,no,english,no,68,tenured
53,4.8,0.9825948,female,38,yes,no,english,no,67,tenured
53,4.8,0.9825948,female,38,yes,no,english,no,80,tenured
53,4.6,0.9825948,female,38,yes,yes,english,no,137,tenured
53,4.7,0.9825948,female,38,yes,no,english,no,69,tenured
54,3.8,-1.538843,female,34,no,yes,english,no,80,tenure track
54,4,-1.538843,female,34,no,yes,english,no,90,tenure track
54,4.1,-1.538843,female,34,no,no,english,no,34,tenure track
54,4,-1.538843,female,34,no,no,english,no,73,tenure track
54,4.1,-1.538843,female,34,no,no,english,no,44,tenure track
55,4.1,1.067531,male,34,no,no,english,no,20,tenure track
55,3.6,1.067531,male,34,no,yes,english,no,35,tenure track
56,3.9,-0.4143639,male,32,yes,yes,english,no,168,tenure track
56,3.8,-0.4143639,male,32,yes,yes,english,no,247,tenure track
56,4.4,-0.4143639,male,32,yes,no,english,no,22,tenure track
56,4.7,-0.4143639,male,32,yes,no,english,no,103,tenure track
57,4.1,0.7962944,female,42,no,no,english,no,82,tenured
58,4.7,-0.6466943,female,43,no,no,english,no,35,tenured
58,4.3,-0.6466943,female,43,no,yes,english,no,34,tenured
58,4.4,-0.6466943,female,43,no,yes,english,no,37,tenured
58,4.5,-0.6466943,female,43,no,yes,english,no,14,tenured
58,3.1,-0.6466943,female,43,no,yes,english,no,266,tenured
58,3.7,-0.6466943,female,43,no,yes,english,no,254,tenured
58,4.5,-0.6466943,female,43,no,no,english,no,13,tenured
58,3,-0.6466943,female,43,no,yes,english,no,282,tenured
58,4.6,-0.6466943,female,43,no,no,english,no,17,tenured
59,3.6,-0.4299034,male,35,no,yes,non english,no,42,tenure track
60,3.3,-0.5924066,female,62,no,no,english,no,16,tenured
60,2.9,-0.5924066,female,62,no,no,english,no,19,tenured
63,3.7,0.6851749,female,52,yes,no,english,no,98,tenured
64,4,0.9755885,female,52,no,no,english,no,65,tenured
64,3.7,0.9755885,female,52,no,no,english,no,63,tenured
65,3.8,-1.178738,female,52,no,no,english,no,43,non tenure track
65,3.9,-1.178738,female,52,no,no,english,no,80,non tenure track
65,4.6,-1.178738,female,52,no,no,english,no,52,non tenure track
65,4.5,-1.178738,female,52,no,no,english,no,48,non tenure track
65,4.2,-1.178738,female,52,no,no,english,no,66,non tenure track
65,4,-1.178738,female,52,no,no,english,no,100,non tenure track
66,3.5,-1.157511,male,64,no,no,english,no,16,tenured
66,2.7,-1.157511,male,64,no,no,english,no,22,tenured
66,4,-1.157511,male,64,no,no,english,no,11,tenured
66,4.6,-1.157511,male,64,no,no,english,no,10,tenured
66,3.9,-1.157511,male,64,no,no,english,no,16,tenured
67,3.7,1.327346,male,50,no,no,english,no,10,tenured
68,3.1,-1.511268,male,60,no,no,english,no,10,tenured
68,2.5,-1.511268,male,60,no,no,english,no,16,tenured
70,4.8,-0.5783117,male,43,no,yes,english,no,28,tenure track
70,4.9,-0.5783117,male,43,no,yes,english,no,30,tenure track
70,4.5,-0.5783117,male,43,no,yes,english,no,15,tenure track
70,4.6,-0.5783117,male,43,no,yes,english,no,13,tenure track
70,4.5,-0.5783117,male,43,no,yes,english,no,18,tenure track
70,4.9,-0.5783117,male,43,no,yes,english,no,26,tenure track
70,4.4,-0.5783117,male,43,no,yes,english,no,30,tenure track
70,4.6,-0.5783117,male,43,no,yes,english,no,14,tenure track
71,5,-0.671936,male,50,no,yes,english,yes,22,non tenure track
71,4.9,-0.671936,male,50,no,yes,english,yes,25,non tenure track
71,4.6,-0.671936,male,50,no,yes,english,yes,26,non tenure track
71,4.8,-0.671936,male,50,no,yes,english,yes,22,non tenure track
71,4.9,-0.671936,male,50,no,yes,english,yes,26,non tenure track
71,4.9,-0.671936,male,50,no,yes,english,yes,20,non tenure track
71,4.9,-0.671936,male,50,no,yes,english,yes,22,non tenure track
71,5,-0.671936,male,50,no,yes,english,yes,21,non tenure track
71,4.5,-0.671936,male,50,no,yes,english,yes,21,non tenure track
72,3.8,0.6683338,male,52,no,no,english,no,65,tenured
72,3.9,0.6683338,male,52,no,no,english,no,62,tenured
72,3.9,0.6683338,male,52,no,no,english,no,67,tenured
72,4.2,0.6683338,male,52,no,no,english,no,40,tenured
72,4.1,0.6683338,male,52,no,no,english,no,45,tenured
73,4.8,0.7924695,male,51,yes,yes,english,no,579,tenured
73,4.8,0.7924695,male,51,yes,yes,english,no,537,tenured
73,4.8,0.7924695,male,51,yes,yes,english,no,581,tenured
73,4.9,0.7924695,male,51,yes,yes,english,no,527,tenured
74,4.5,-0.6548505,male,38,no,yes,english,no,84,tenured
74,3.9,-0.6548505,male,38,no,yes,english,no,79,tenured
74,4.4,-0.6548505,male,38,no,yes,english,no,92,tenured
75,3.6,0.2510546,female,47,yes,yes,english,no,67,tenured
76,2.7,-0.2397178,female,43,yes,yes,english,yes,190,tenured
77,4.4,-1.113346,female,38,no,yes,english,no,60,non tenure track
77,3.9,-1.113346,female,38,no,yes,english,no,64,non tenure track
77,3.6,-1.113346,female,38,no,yes,english,no,31,non tenure track
77,4.4,-1.113346,female,38,no,yes,english,no,62,non tenure track
77,4.4,-1.113346,female,38,no,yes,english,no,37,non tenure track
78,4.5,-0.1135935,male,43,yes,yes,english,no,13,tenured
78,4.1,-0.1135935,male,43,yes,no,english,no,15,tenured
78,3.7,-0.1135935,male,43,yes,no,english,no,79,tenured
79,3.5,-0.8351366,male,57,no,no,english,no,98,tenured
79,3.7,-0.8351366,male,57,no,no,english,no,97,tenured
80,4,0.9005994,female,51,no,no,english,no,78,tenured
80,3.1,0.9005994,female,51,no,no,english,no,56,tenured
80,4.5,0.9005994,female,51,no,no,english,no,20,tenured
81,4.2,-0.620769,male,45,no,yes,english,no,20,non tenure track
81,4.9,-0.620769,male,45,no,yes,english,no,19,non tenure track
81,4.8,-0.620769,male,45,no,yes,english,no,26,non tenure track
82,3.6,-0.8552412,male,57,no,yes,english,no,18,tenured
82,4.4,-0.8552412,male,57,no,yes,english,no,12,tenured
82,3.4,-0.8552412,male,57,no,yes,english,no,19,tenured
82,3.9,-0.8552412,male,57,no,yes,english,no,16,tenured
82,3.8,-0.8552412,male,57,no,yes,english,no,16,tenured
82,4.8,-0.8552412,male,57,no,yes,english,no,12,tenured
82,4.6,-0.8552412,male,57,no,yes,english,no,17,tenured
82,5,-0.8552412,male,57,no,no,english,no,15,tenured
82,3.8,-0.8552412,male,57,no,yes,english,no,16,tenured
82,4.2,-0.8552412,male,57,no,yes,english,no,17,tenured
83,4.7,1.065906,female,47,no,yes,english,no,17,non tenure track
83,4.6,1.065906,female,47,no,yes,english,no,10,non tenure track
83,4.6,1.065906,female,47,no,yes,english,no,17,non tenure track
83,4,1.065906,female,47,no,yes,english,no,17,non tenure track
84,4.9,1.144253,female,54,no,yes,english,yes,16,tenured
84,4.5,1.144253,female,54,no,yes,english,yes,26,tenured
84,4.8,1.144253,female,54,no,yes,english,yes,18,tenured
84,3.8,1.144253,female,54,no,yes,english,yes,20,tenured
85,5,1.685985,male,58,no,yes,english,no,21,non tenure track
85,5,1.685985,male,58,no,yes,english,no,21,non tenure track
85,4.9,1.685985,male,58,no,yes,english,no,20,non tenure track
85,4.6,1.685985,male,58,no,yes,english,no,20,non tenure track
85,5,1.685985,male,58,no,yes,english,no,13,non tenure track
85,4.8,1.685985,male,58,no,yes,english,no,16,non tenure track
85,4.9,1.685985,male,58,no,yes,english,no,17,non tenure track
86,3.9,1.684802,male,42,no,yes,english,no,24,tenured
86,3.9,1.684802,male,42,no,no,english,no,20,tenured
87,4.5,0.6362435,male,33,no,yes,english,no,155,tenure track
88,3.1,-1.269975,male,62,no,yes,english,no,70,tenured
88,2.8,-1.269975,male,62,no,yes,english,no,149,tenured
88,3.1,-1.269975,male,62,no,yes,english,no,137,tenured
88,4.2,-1.269975,male,62,no,no,english,no,29,tenured
88,3.4,-1.269975,male,62,no,yes,english,no,55,tenured
88,3,-1.269975,male,62,no,yes,english,no,136,tenured
89,3.6,1.681103,female,35,no,yes,english,yes,60,tenure track
89,3.7,1.681103,female,35,no,yes,english,yes,108,tenure track
90,4.3,-0.6756103,male,61,no,yes,english,no,15,tenured
